iter	Passed	Remaining
0	5	5657
1	11	5716
2	15	5137
3	19	4818
4	23	4742
5	27	4567
6	31	4428
7	34	4337
8	39	4351
9	43	4310
10	47	4247
11	50	4184
12	55	4212
13	59	4161
14	63	4162
15	67	4131
16	71	4144
17	75	4104
18	78	4064
19	82	4041
20	86	4028
21	90	4002
22	93	3971
23	96	3936
24	101	3949
25	104	3922
26	108	3896
27	111	3865
28	115	3875
29	119	3858
30	122	3833
31	126	3812
32	130	3833
33	135	3836
34	138	3826
35	142	3803
36	146	3814
37	149	3795
38	153	3782
39	156	3766
40	162	3794
41	165	3776
42	168	3759
43	172	3754
44	177	3761
45	180	3749
46	184	3731
47	187	3714
48	191	3721
49	195	3708
50	198	3696
51	201	3680
52	205	3674
53	209	3672
54	212	3659
55	216	3645
56	219	3634
57	224	3638
58	227	3633
59	231	3622
60	234	3610
61	238	3615
62	242	3604
63	246	3604
64	249	3595
65	254	3600
66	257	3589
67	261	3583
68	265	3576
69	269	3583
70	273	3576
71	276	3570
72	280	3566
73	284	3565
74	288	3559
75	292	3554
76	295	3547
77	299	3544
78	303	3542
79	307	3535
80	311	3535
81	316	3538
82	318	3515
83	321	3508
84	325	3506
85	330	3509
86	333	3502
87	337	3497
88	341	3491
89	345	3493
90	349	3492
91	353	3491
92	358	3496
93	362	3496
94	366	3490
95	369	3484
96	375	3495
97	378	3488
98	383	3486
99	387	3487
100	391	3485
101	394	3477
102	398	3468
103	401	3462
104	406	3463
105	409	3455
106	413	3447
107	416	3439
108	421	3444
109	425	3439
110	429	3438
111	433	3434
112	437	3435
113	441	3429
114	444	3422
115	448	3419
116	452	3412
117	455	3408
118	459	3401
119	463	3395
120	467	3397
121	470	3387
122	474	3383
123	477	3376
124	481	3373
125	485	3366
126	488	3357
127	492	3356
128	497	3356
129	501	3352
130	504	3345
131	508	3341
132	512	3338
133	515	3331
134	519	3327
135	522	3321
136	527	3320
137	530	3314
138	533	3306
139	537	3300
140	541	3299
141	543	3286
142	547	3279
143	550	3273
144	553	3266
145	558	3265
146	561	3257
147	565	3253
148	568	3247
149	572	3245
150	576	3239
151	579	3232
152	583	3228
153	587	3227
154	591	3224
155	595	3221
156	599	3220
157	603	3216
158	607	3211
159	611	3208
160	613	3197
161	618	3197
162	621	3192
163	625	3186
164	628	3183
165	633	3181
166	637	3177
167	640	3171
168	643	3165
169	648	3164
170	651	3158
171	655	3154
172	658	3148
173	663	3149
174	667	3146
175	671	3143
176	675	3140
177	679	3140
178	683	3136
179	687	3130
180	690	3126
181	695	3126
182	699	3121
183	702	3115
184	706	3110
185	710	3107
186	714	3105
187	717	3099
188	721	3096
189	725	3094
190	729	3091
191	733	3086
192	738	3087
193	742	3084
194	746	3082
195	751	3080
196	756	3082
197	761	3084
198	767	3087
199	772	3090
200	777	3090
201	781	3086
202	785	3084
203	790	3083
204	794	3081
205	799	3079
206	803	3076
207	807	3075
208	812	3074
209	816	3071
210	820	3067
211	824	3064
212	828	3061
213	831	3052
214	833	3042
215	836	3036
216	839	3028
217	842	3020
218	844	3011
219	846	3001
220	848	2992
221	851	2982
222	853	2973
223	855	2964
224	858	2956
225	860	2946
